Feature_Set,Classifier,F1_Score_Macro
Edge + DarkChannel + LBP + HOG + SpatialFreq + DL_Inception + DL_EfficientNet,RandomForest,0.9603801183765415
Edge + DarkChannel + LBP + HOG + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9603542476027599
Contrast + DarkChannel + LBP + HOG + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9603542476027599
Contrast + Edge + LBP + HOG + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9603542476027599
LBP + HOG + DL_Inception + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9603476154721153
Contrast + Edge + DarkChannel + LBP + HOG + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.960347473091882
Edge + DarkChannel + HOG + DL_ResNet,RandomForest,0.9603449465401879
Contrast + Edge + DarkChannel + HOG + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.960339179769748
Contrast + HOG + SpatialFreq + SpatialFreq_mRMR,RandomForest,0.960329138315085
Edge + HOG + SpatialFreq + SpatialFreq_mRMR,RandomForest,0.960329138315085
DarkChannel + HOG + SpatialFreq + SpatialFreq_mRMR,RandomForest,0.960329138315085
Edge + DarkChannel + LBP + HOG + SpatialFreq + DL_Inception + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9603284077429457
Contrast + Edge + DarkChannel + HOG + DL_Inception,RandomForest,0.9603280066079595
DarkChannel + HOG + SpatialFreq_mRMR,RandomForest,0.9603277571701471
Edge + HOG + SpatialFreq_mRMR,RandomForest,0.9603277571701471
Edge + HOG + SpatialFreq,RandomForest,0.9603254474584688
Contrast + Edge + DarkChannel + HOG + SpatialFreq + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9603232420169894
DarkChannel + LBP + HOG + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9603216249325006
Contrast + Edge + DarkChannel + HOG + SpatialFreq,RandomForest,0.9603164489311942
Contrast + LBP + HOG + DL_ResNet,RandomForest,0.9603156924944886
Edge + LBP + HOG + DL_ResNet,RandomForest,0.9603156924944886
DarkChannel + LBP + HOG + DL_ResNet,RandomForest,0.9603156924944886
Contrast + DarkChannel + HOG + DL_Inception,RandomForest,0.9603139463418267
Edge + DarkChannel + HOG + DL_Inception,RandomForest,0.9603139463418267
Edge + DarkChannel + LBP + HOG + SpatialFreq + DL_Inception + SpatialFreq_mRMR,RandomForest,0.9603128556085359
Contrast + Edge + LBP + HOG + SpatialFreq + DL_Inception + SpatialFreq_mRMR,RandomForest,0.9603128556085359
Contrast + DarkChannel + LBP + HOG + SpatialFreq + DL_Inception + SpatialFreq_mRMR,RandomForest,0.9603128556085359
Contrast + Edge + DarkChannel + LBP + HOG + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9603121768792511
Contrast + Edge + DarkChannel + LBP + HOG + DL_Inception + DL_ResNet + SpatialFreq_mRMR,RandomForest,0.9603121282121263
Contrast + LBP + HOG + SpatialFreq_mRMR,RandomForest,0.9603104630764294
DarkChannel + LBP + HOG + SpatialFreq_mRMR,RandomForest,0.9603104630764294
Edge + LBP + HOG + SpatialFreq_mRMR,RandomForest,0.9603104630764294
Contrast + Edge + HOG + SpatialFreq + DL_Inception + SpatialFreq_mRMR,RandomForest,0.960309767231099
Contrast + DarkChannel + HOG + SpatialFreq + DL_Inception + SpatialFreq_mRMR,RandomForest,0.960309767231099
Edge + DarkChannel + HOG + SpatialFreq + DL_Inception + SpatialFreq_mRMR,RandomForest,0.960309767231099
Contrast + Edge + HOG + DL_ResNet + DL_EfficientNet,RandomForest,0.9603076063379579
